City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,cururupu,-1.8283,-44.8683,24.92,94,94,0.55,BR,1680093044
164,chapais,49.7834,-74.8492,-13.12,93,100,1.87,CA,1680093045
165,chokurdakh,70.6333,147.9167,-29.54,100,21,3.23,RU,1680093046
166,husavik,66.0449,-17.3389,1.56,80,100,9.53,IS,1680093047
167,tena,-0.9833,-77.8167,26.84,76,100,0.55,EC,1680093048
168,thinadhoo,0.5333,72.9333,28.49,72,9,2.11,MV,1680093049
169,andenes,69.3143,16.1194,-2.01,46,0,2.06,NO,1680093049
170,jiuquan,39.7432,98.5174,13.24,16,100,0.85,CN,1680093050
171,georgetown,5.4112,100.3354,29.97,87,20,1.54,MY,1680092940
172,pangnirtung,66.1451,-65.7125,-12.23,95,100,0.74,CA,1680093051
173,beringovskiy,63.05,179.3167,-3.39,98,100,2.99,RU,1680093052
174,barcelos,41.5388,-8.6151,23.29,55,100,6.31,PT,1680093053
175,tiksi,71.6872,128.8694,-29.09,100,31,3.36,RU,1680093054
176,ossora,59.2353,163.0719,-15.9,86,6,2.9,RU,1680093054
177,sindou,10.6667,-5.1667,37.06,29,56,3.68,BF,1680093055
178,pilar,-9.5972,-35.9567,24.96,65,100,4.42,BR,1680093055
179,cockburn town,21.4612,-71.1419,24.86,76,5,7.41,TC,1680093056
180,itupiranga,-5.1347,-49.3267,27.18,96,100,1.06,BR,1680093057
181,roros,62.5747,11.3842,-4.09,39,0,1.03,NO,1680093057
182,oussouye,12.485,-16.5469,36.1,41,1,6.23,SN,1680093058
183,valenca do piaui,-6.4075,-41.7456,28.5,56,11,2.36,BR,1680093059
184,dikson,73.5069,80.5464,-19.08,95,100,3.01,RU,1680093060
185,rafaela,-31.2503,-61.4867,25.0,51,12,0.45,AR,1680093023
186,grimshaw,56.1834,-117.6027,-1.21,55,100,1.54,CA,1680093061
187,bonavista,48.6499,-53.1147,-1.41,96,100,8.84,CA,1680093063
188,half moon bay,37.4636,-122.4286,9.61,89,100,4.12,US,1680093063
189,kaitangata,-46.2817,169.8464,3.68,85,13,0.75,NZ,1680093065
190,norman wells,65.282,-126.8329,-6.98,73,75,6.69,CA,1680093066
191,severo-kurilsk,50.6789,156.125,-2.9,62,0,2.38,RU,1680093067
192,lagoa,39.05,-27.9833,14.4,78,1,12.15,PT,1680093069
193,port-cartier,50.0334,-66.8654,-0.94,94,96,0.91,CA,1680092825
194,kismayo,-0.3582,42.5454,29.62,63,6,4.81,SO,1680093072
195,bar harbor,44.3876,-68.2039,2.43,70,40,3.13,US,1680093073
196,namatanai,-3.6667,152.4333,26.55,80,100,1.47,PG,1680093075
197,aswan,24.0934,32.907,32.73,7,87,5.91,EG,1680093076
198,gat,31.61,34.7642,18.77,100,4,9.22,IL,1680092939
199,charleston,32.7766,-79.9309,13.01,81,0,8.23,US,1680092808
200,sorata,-15.7667,-68.6333,9.99,74,31,2.05,BO,1680093081
201,matamoros,25.5333,-103.25,11.59,78,100,0.89,MX,1680093082
202,rawson,-43.3002,-65.1023,10.0,30,5,10.25,AR,1680093083
